dt,ticker,source,url,av_relevance,av_sentiment,finbert_pos,finbert_neu,finbert_neg,title,summary
2025-10-30 18:38:51+00:00,NVDA,Motley Fool,https://www.fool.com/investing/2025/10/30/1-reason-apple-stock-just-hit-all-time-highs/,0.122894,-0.0092,0.32750052213668823,0.6679743528366089,0.004525107331573963,1 Reason Apple Stock Just Hit All-Time Highs,Apple is now one of only three companies to have reached a $4 trillion market cap.
2025-10-30 18:38:51+00:00,AAPL,Motley Fool,https://www.fool.com/investing/2025/10/30/1-reason-apple-stock-just-hit-all-time-highs/,0.720958,0.092523,0.32750052213668823,0.6679743528366089,0.004525107331573963,1 Reason Apple Stock Just Hit All-Time Highs,Apple is now one of only three companies to have reached a $4 trillion market cap.
2025-10-30 16:50:00+00:00,AAPL,Zacks Commentary,https://www.zacks.com/commentary/2781826/is-apple-the-best-magnificent-7-stock,0.780411,0.555348,0.9999995231628418,2.582990248356509e-07,2.3165479490216967e-07,Is Apple the Best Magnificent 7 Stock?,Apple stock has rallied significantly ahead of earnings. Can it continue into the end of the year?
2025-10-30 16:50:00+00:00,TSLA,Zacks Commentary,https://www.zacks.com/commentary/2781826/is-apple-the-best-magnificent-7-stock,0.121959,0.246285,0.9999995231628418,2.582990248356509e-07,2.3165479490216967e-07,Is Apple the Best Magnificent 7 Stock?,Apple stock has rallied significantly ahead of earnings. Can it continue into the end of the year?
2025-10-30 15:10:00+00:00,LLY,Zacks Commentary,https://www.zacks.com/stock/news/2781711/earnings-data-deluge,0.112797,0.257827,5.503725333255716e-06,0.0013238131068646908,0.9986706972122192,Earnings Data Deluge,"Pre-market futures are down at this hour, as market participants grapple with Fed Chair Jerome Powell's message to investors in yesterday's press conference following the Fed's quarter-point drop on interest rates."
2025-10-30 15:10:00+00:00,AAPL,Zacks Commentary,https://www.zacks.com/stock/news/2781711/earnings-data-deluge,0.16849,0.103747,5.503725333255716e-06,0.0013238131068646908,0.9986706972122192,Earnings Data Deluge,"Pre-market futures are down at this hour, as market participants grapple with Fed Chair Jerome Powell's message to investors in yesterday's press conference following the Fed's quarter-point drop on interest rates."
2025-10-30 15:10:00+00:00,MA,Zacks Commentary,https://www.zacks.com/stock/news/2781711/earnings-data-deluge,0.05654,0.17497,5.503725333255716e-06,0.0013238131068646908,0.9986706972122192,Earnings Data Deluge,"Pre-market futures are down at this hour, as market participants grapple with Fed Chair Jerome Powell's message to investors in yesterday's press conference following the Fed's quarter-point drop on interest rates."
2025-10-30 15:10:00+00:00,AMZN,Zacks Commentary,https://www.zacks.com/stock/news/2781711/earnings-data-deluge,0.16849,0.103747,5.503725333255716e-06,0.0013238131068646908,0.9986706972122192,Earnings Data Deluge,"Pre-market futures are down at this hour, as market participants grapple with Fed Chair Jerome Powell's message to investors in yesterday's press conference following the Fed's quarter-point drop on interest rates."
2025-10-30 15:10:00+00:00,CROX,Zacks Commentary,https://www.zacks.com/stock/news/2781711/earnings-data-deluge,0.112797,0.180713,5.503725333255716e-06,0.0013238131068646908,0.9986706972122192,Earnings Data Deluge,"Pre-market futures are down at this hour, as market participants grapple with Fed Chair Jerome Powell's message to investors in yesterday's press conference following the Fed's quarter-point drop on interest rates."
2025-10-30 15:01:12+00:00,AAPL,Benzinga,https://www.benzinga.com/insights/news/25/10/48531848/insights-into-apples-performance-versus-peers-in-technology-hardware-storage-amp-peripherals-sector,0.426567,0.310928,0.03956630453467369,0.9412168264389038,0.019216950982809067,"Insights Into Apple's Performance Versus Peers In Technology Hardware, Storage & Peripherals Sector - Apple  ( NASDAQ:AAPL ) ","In today's rapidly changing and highly competitive business world, it is imperative for investors and industry observers to carefully assess companies before making investment choices."
