ticker,accession,section,pos,neu,neg,sent_score
AAPL,000032019324000081,FinancialStatementsNarrative,5.2721984502568375e-06,0.9999614953994751,3.32732088281773e-05,-2.8001010377920466e-05
AAPL,000032019324000081,MD&A,6.851683428976685e-05,0.9999107122421265,2.0790288544958457e-05,4.772654574480839e-05
AAPL,000032019324000081,RiskFactors,0.051846858114004135,0.7946573495864868,0.15349572896957397,-0.10164887085556984
AAPL,000032019325000008,FinancialStatementsNarrative,5.2721984502568375e-06,0.9999614953994751,3.32732088281773e-05,-2.8001010377920466e-05
AAPL,000032019325000008,MD&A,6.870922516100109e-05,0.9998888969421387,4.2465289880055934e-05,2.6243935280945152e-05
AAPL,000032019325000008,RiskFactors,0.051846858114004135,0.7946573495864868,0.15349572896957397,-0.10164887085556984
AAPL,000032019325000057,FinancialStatementsNarrative,5.2721984502568375e-06,0.9999614953994751,3.32732088281773e-05,-2.8001010377920466e-05
AAPL,000032019325000057,MD&A,6.870922516100109e-05,0.9998888969421387,4.2465289880055934e-05,2.6243935280945152e-05
AAPL,000032019325000057,RiskFactors,0.11044459044933319,0.5484435558319092,0.34111183881759644,-0.23066724836826324
AAPL,000032019325000073,FinancialStatementsNarrative,5.2721984502568375e-06,0.9999614953994751,3.32732088281773e-05,-2.8001010377920466e-05
AAPL,000032019325000073,MD&A,6.851683428976685e-05,0.9999107122421265,2.0790288544958457e-05,4.772654574480839e-05
AAPL,000032019325000073,RiskFactors,0.09662187844514847,0.6551541090011597,0.24822396039962769,-0.15160208195447922
