ticker,accession,section,pos,neu,neg,sent_score
AAPL,000032019324000081,FinancialStatementsNarrative,5.272208454698557e-06,0.9999614953994751,3.3273307053605095e-05,-2.8001098598906538e-05
AAPL,000032019324000081,MD&A,6.85171689838171e-05,0.9999107122421265,2.079026853607502e-05,4.772690044774208e-05
AAPL,000032019324000081,RiskFactors,0.05184681713581085,0.794657826423645,0.1534954011440277,-0.10164858400821686
AAPL,000032019325000008,FinancialStatementsNarrative,5.272208454698557e-06,0.9999614953994751,3.3273307053605095e-05,-2.8001098598906538e-05
AAPL,000032019325000008,MD&A,6.870909419376403e-05,0.9998888969421387,4.246512980898842e-05,2.624396438477561e-05
AAPL,000032019325000008,RiskFactors,0.05184681713581085,0.794657826423645,0.1534954011440277,-0.10164858400821686
AAPL,000032019325000057,FinancialStatementsNarrative,5.272208454698557e-06,0.9999614953994751,3.3273307053605095e-05,-2.8001098598906538e-05
AAPL,000032019325000057,MD&A,6.870909419376403e-05,0.9998888969421387,4.246512980898842e-05,2.624396438477561e-05
AAPL,000032019325000057,RiskFactors,0.1104448214173317,0.5484440326690674,0.34111112356185913,-0.23066630214452744
AAPL,000032019325000073,FinancialStatementsNarrative,5.272208454698557e-06,0.9999614953994751,3.3273307053605095e-05,-2.8001098598906538e-05
AAPL,000032019325000073,MD&A,6.85171689838171e-05,0.9999107122421265,2.079026853607502e-05,4.772690044774208e-05
AAPL,000032019325000073,RiskFactors,0.09662189334630966,0.6551542282104492,0.24822384119033813,-0.15160194784402847
